cell,PC1,PC2,tsne1,tsne2,knn_all,knn_pca,knn_svd,lnIC50_mean
22RV1,-0.11821090737287548,0.5553332000852341,-3.7755218,-3.2952325,1,1,1,2.5528801888888886
23132-87,-7.707611387971195,2.0113777940493702,-1.3093041,-13.7076435,3,2,2,2.00105145
42-MG-BA,-5.088787772373916,-0.36634175774069877,0.18876119,-11.522259,3,2,2,2.2016799055555554
5637,-0.08273693836167251,1.81919681037524,1.467041,-5.8275476,1,1,1,2.6084773128491623
639-V,-3.4031418739361854,-2.7439743665470626,8.276133,-8.379151,3,2,2,2.3471647318435753
647-V,2.3050557538082512,-3.129606370452084,-16.712044,4.7072854,1,1,1,2.7419500277777775
697,-31.410620605925857,-2.2571450470910315,24.180418,-26.674845,2,4,4,0.3532804662921347
769-P,-1.3624593806847956,2.519741942201309,-3.4681604,-11.590106,1,1,1,2.392155322222222
786-0,-3.885574017500888,-1.0138389098790528,-0.64993966,-11.789454,3,2,2,2.3047312444444445
8-MG-BA,-12.08971116561117,-0.8155597846615733,10.930619,-17.36292,3,2,2,1.7178899664804468
8305C,6.589327835715532,4.453063022323097,-7.4745274,3.8412077,1,1,1,2.943012511111111
8505C,9.625743430789583,3.3401037282152926,-10.896969,16.584284,4,3,3,3.2271652888888887
A101D,-8.188979460964928,5.8324452629011825,0.9991812,-17.58622,3,2,2,1.9447729777777782
A172,-6.126128885766613,0.8111396336832504,0.18660535,-13.492573,3,2,2,2.1561906833333335
A204,4.67116198378563,-2.5354359458873956,-15.111551,3.8877277,1,1,1,2.826526938888889
A2058,-10.024138399138653,1.596769830511186,10.276286,-16.379173,3,2,2,1.8479615810055865
A253,2.5809256107034058,-3.4515049694603896,-2.8302746,3.403216,1,1,1,2.70259538547486
A2780,-19.58623760530941,5.390775745883436,4.726773,-27.534323,2,4,4,1.093346294444444
A3-KAW,-26.10327432842014,0.5418384447441575,22.817629,-28.838884,2,4,4,0.6331648125000001
A375,-8.458511771819351,10.880601200556526,-11.824145,-15.41666,3,2,2,1.9935364143646406
A4-Fuk,-26.666712875992335,7.400260500091858,25.19194,-30.557638,2,4,4,0.5960665444444443
A427,-0.7809764973175979,-0.8977675419591793,1.0677439,3.5913923,1,1,1,2.8091799052631576
A498,10.022776682730594,-0.6457283469391756,-13.548807,8.474723,4,3,3,3.1133851899441343
A549,-9.856411495355827,8.625240137886294,3.0050564,-20.50005,3,2,2,1.8082166464088398
A673,-13.44246399391236,-3.683231495826561,15.445829,-22.731634,3,2,2,1.6285919555555555
A704,1.7980465203806473,-0.4260952510527531,-11.193174,5.905891,1,1,1,2.4913215921787706
ABC-1,11.999494897707528,-5.528523988772287,-6.489109,21.184015,4,3,3,4.5026601770833325
ACHN,-3.035646988622021,3.420554669833891,-3.3011973,-11.6820135,3,2,2,2.2994298222222223
AGS,-14.933132853390164,9.122886141003328,2.877618,-22.590895,3,2,2,1.3761601899441345
ALL-PO,-21.96810842061172,-5.239413117797352,27.15518,-23.021336,2,4,4,1.0181010502793297
ALL-SIL,-18.656794723943804,-4.2679556395556935,24.713964,-34.35158,2,4,4,1.31599456424581
AM-38,-3.9045575274356312,2.837026192060381,-11.677242,-10.782949,3,2,2,2.235159394444444
AMO-1,-24.74662927104768,1.3555954017414604,24.856964,-29.544333,2,4,4,0.7229113483146068
AN3-CA,-0.8957094802503309,-2.757392576651861,12.263669,2.4174492,1,1,1,2.3777507150837995
ARH-77,-21.059498952336128,-1.6003501828409454,26.199587,-25.746496,2,4,4,1.1040514388888893
ASH-3,2.275781648526996,1.3357493290772717,-5.351109,4.183518,1,1,1,2.6575036166666663
ATN-1,-21.383741452010327,-6.682709343206344,21.029188,-23.906498,2,4,4,1.0684511460674158
AU565,-5.465054291027824,-4.378768742829507,5.2919226,-8.627067,3,2,2,2.229717407216495
AsPC-1,38.97021208502814,5.146502259178332,-22.742065,37.02486,0,0,0,5.330396477777778
B-CPAP,1.9128171009897292,2.393791372706991,-6.827879,4.663131,1,1,1,2.7226631508379895
BALL-1,-23.703463811142857,-5.266212666691327,24.848265,-24.478754,2,4,4,0.9523939106145252
BB49-HNC,-8.419346561321156,6.684659883720952,-1.7587918,-10.20547,3,2,2,1.9108578555555555
BC-1,-24.05073140545855,0.04905993545866316,24.670862,-29.385124,2,4,4,0.8204776111111113
BE-13,-20.268410325070768,-2.242866937874945,21.85862,-21.894985,2,4,4,1.05242795
BE2-M17,1.2418830365955367,2.694259082644244,-3.3856187,-1.6602092,1,1,1,2.6251845611111118
BFTC-905,-12.69621654861733,5.2209053407727035,4.3695836,-20.039724,3,2,2,1.5915548777777784
BFTC-909,-5.4955107440152835,-1.085515973371067,0.32359064,-11.872858,3,2,2,2.191558972067039
BHT-101,-3.8901394008250922,9.36618930030762,-11.145032,-12.705914,3,2,2,2.1778524277777778
BICR10,-0.3329218595719148,-1.3660524222671728,-7.501623,-3.5378723,1,1,1,2.545725822222222
BICR22,-10.484832296215378,-0.6597553483667187,8.971018,-15.407762,3,2,2,1.8661523833333336
BICR78,12.985991613426537,-1.4440613312938455,-6.301444,20.981438,4,3,3,3.321025233333334
BL-41,-24.435454741010645,-3.04521772977595,24.225077,-28.097008,2,4,4,0.7930872333333335
BPH-1,-10.332438006664276,9.810068814657768,-1.904051,-22.726555,3,2,2,1.7216197333333338
BT-20,3.504812328307052,-0.5806470214533537,6.4888186,11.375733,1,1,1,2.62504298974359
BT-474,18.8708469530615,-5.772758206104537,-11.646353,35.485092,0,3,3,3.872156502564103
BT-483,26.390687674787987,-6.403996718322681,-26.134573,17.422142,0,0,0,5.35644505737705
BT-549,5.316777983670374,-2.23133603873103,-9.5615425,-1.1679301,1,1,1,2.8940772358974365
BV-173,-20.169719773085443,0.005145556453718836,22.432028,-34.373077,2,4,4,0.5746110808823528
Becker,5.3767251692360585,0.4749376195164634,-9.785859,-3.2951524,1,1,1,2.999059544444444
BxPC-3,2.901152824188554,2.760810398913938,-4.284709,3.0837967,1,1,1,2.5990328333333332
C-33-A,-7.218148901228856,-1.3105745926759318,9.854669,-12.5908375,3,2,2,1.9555109444444447
C-4-I,1.7616755525081174,0.06793076151105737,-1.7018515,8.771897,1,1,1,2.58418151396648
C2BBe1,13.652597333701921,1.9129976907947748,-13.312181,23.693546,4,3,3,3.3782546956521737
C32,7.810770485113811,11.718130384343842,-16.250006,-13.004777,4,3,3,3.1588046499999995
C3A,19.765921238234064,1.0599833704152135,-10.737544,28.353292,0,0,0,3.9403521444444447
CA46,-6.066036170870584,-3.0888703947382075,16.542875,-13.08638,3,2,2,2.129960683333334
CADO-ES1,-7.721984314663382,-6.100075115423803,10.744909,-23.114742,3,2,2,2.0774420888888887
CAL-120,19.385308988294963,-3.7180532932117742,-18.338598,23.615818,0,0,0,4.155584682051282
CAL-148,-7.159418842317992,-3.523420321734614,13.517081,-6.6348863,3,2,2,1.504129239669421
CAL-27,-8.032277202440987,-0.441092509823408,4.1395826,-9.980048,3,2,2,2.00220425
CAL-29,-1.4875077085262054,1.6433533756239784,-0.6163236,-5.4099765,1,1,1,2.440544938888889
CAL-33,-6.070443719156997,-1.1818660874831428,3.9034905,-9.924647,3,2,2,2.1513037722222226
CAL-39,-16.17428781427783,10.010741543971346,-2.1392498,-22.953575,3,2,2,1.238215022222222
CAL-51,-8.538773977427452,-1.5280229036335709,3.2564442,-12.921613,3,2,2,2.0976022564102563
CAL-54,-8.035999868758006,4.696452975025363,-2.8313189,-12.953513,3,2,2,1.8126888777777777
CAL-62,-2.9750857729107163,0.8019857235956753,7.4021773,-7.030704,3,2,2,2.346555644444444
